Food Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),Sodium (mg),Vitamin A (mcg RAE),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B5 (Pantothenic Acid) (mg),Vitamin B6 (Pyridoxine) (mg),Vitamin B7 (Biotin) (mcg),Vitamin B9 (Folate) (mcg),Vitamin B12 (Cobalamin) (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Choline (mg),Lutein + Zeaxanthin (mcg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (mcg),Zinc (mg),Alanine (g),Arginine (g),Aspartic Acid (g),Cystine (g),Glutamic Acid (g),Glycine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Arsenic (ppm/ug),Cadmium (ppm/ug),Mercury (ppm/ug),Lead (ppm/ug)
Cooked Brown Rice Total,1.52,0.028,0.01,0.356,0.014,0.01,0,0.0016,0.0002,0.029,0.0065,0.0021,0.025,0.1,0,0,0,0.002,0,0.1,0,0.07,0.001,0.006,0.49,0.01,1.3,0.95,0.01,0.008,0.0017,0.0023,0.0028,0.0007,0.0050,0.0012,0.0007,0.0012,0.0024,0.0010,0.0008,0.0015,0.0012,0.0015,0.0009,0.0004,0.0009,0.0017,0.0002,0.00002,0,0.00001
Cooked Brown Rice % Daily Value (RDI),0.076%,0.056%,0.0128%,0.1294%,0.05%,0.0004%,0%,0.1333%,0.0153%,0.1812%,0.13%,0.1235%,0.0833%,0.025%,0%,0%,0%,0.0133%,0%,0.0181%,0%,0.0053%,0.1111%,0.0333%,0.1166%,0.4347%,0.104%,0.0202%,0.0181%,0.0727%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Salmon Roe Total,2.52,0.326,0.156,0.002,0,9,3.3,0.0042,0.0044,0.004,0.01,0.0016,0.16,1,0.473,0,0.47,0.048,0.01,3.3,2.14,0.14,0.0005,0.01,0.12,0.0001,4,0.95,0.4,0.019,0.0134,0.0148,0.023,0.0028,0.0333,0.0105,0.0061,0.0113,0.0193,0.0183,0.0065,0.0094,0.0098,0.0112,0.0106,0.0032,0.0088,0.0125,0.02,0.0002,0.0004,0.0002
Salmon Roe % Daily Value (RDI),0.126%,0.6518%,0.2%,0.0008%,0%,0.3926%,0.3672%,0.35%,0.3384%,0.025%,0.2%,0.094%,0.5334%,0.25%,19.702%,0%,2.35%,0.32%,0.0084%,0.6006%,,0.0176%,0.0556%,0.0556%,0.0286%,0.0044%,0.32%,0.0316%,0.7274%,0.1728%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Chicken Liver (Stewed) Total,1.585,0.27,0.0442,0.0086,0,0.628,199.92,0.0038,0.023,0.0886,0.101,0.0064,3.28,9.282,0.5706,0.1428,0.0014,0.0114,0.1856,4.14,0,0.0714,0.0046,0.1286,0.2428,0.0012,4.284,4.712,0.78,0.0472,0.0142,0.0156,0.0227,0.0039,0.0299,0.0121,0.0072,0.0116,0.0216,0.019,0.0062,0.0118,0.0104,0.0105,0.0104,0.0025,0.0093,0.0143,0.0006,0.0029,0.0003,0.0014
Chicken Liver (Stewed) % Daily Value (RDI),0.0792%,0.54%,0.0566%,0.0032%,0%,0.0274%,22.2134%,0.3166%,1.7692%,0.5538%,2.02%,0.3764%,10.9334%,2.3206%,23.775%,0.1586%,0.007%,0.076%,0.1546%,0.7528%,,0.0054%,0.5112%,0.7144%,0.0578%,0.0522%,0.3428%,0.1002%,1.4182%,0.429%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Pork Liver (Stir-Fried) Total,2.53,0.292,0.149,0.036,0,0.77,185.9,0.0041,0.0438,0.17,0.085,0.0069,0.429,9.266,0.358,0.15,0.014,0.107,0,4.29,0,0.07,0.014,0.186,0.286,0.003,2.86,3.73,0.858,0.099,0.015,0.018,0.028,0.004,0.045,0.015,0.008,0.013,0.025,0.022,0.007,0.013,0.012,0.012,0.013,0.004,0.01,0.017,0.002,0.005,0.0005,0.005
Pork Liver (Stir-Fried) % Daily Value (RDI),0.127%,0.584%,0.191%,0.013%,0%,0.033%,20.656%,0.342%,3.369%,1.063%,1.7%,0.406%,1.43%,2.317%,14.917%,0.167%,0.07%,0.713%,0%,0.78%,,0.009%,1.556%,1.033%,0.068%,0.13%,0.229%,0.124%,1.56%,0.9%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Sea Urchin Total,1.16,0.16,0.048,0.033,0,3.4,2.1,0.001,0.0023,0.015,0.005,0.0005,0.022,3.6,0.016,0.02,0.023,0.036,0.1,1.4,0,0.18,0.0017,0.016,0.31,0.002,3.8,2.8,0.03,0.021,0.0095,0.0115,0.016,0.002,0.022,0.011,0.0035,0.0075,0.012,0.011,0.0045,0.007,0.006,0.0075,0.008,0.0015,0.005,0.0085,0.02,0.001,0.0005,0.0005
Sea Urchin % Daily Value (RDI),0.058%,0.3199%,0.0615%,0.012%,0%,0.1483%,0.2336%,0.0833%,0.1769%,0.0938%,0.1%,0.0294%,0.0734%,0.9001%,0.6665%,0.0222%,0.115%,0.24%,0.0835%,0.2548%,,0.0225%,0.1888%,0.0889%,0.0738%,0.087%,0.3039%,0.0933%,0.0546%,0.1909%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Steamed Spinach Total,0.2,0.0221,0.0043,0.0307,0.0279,0.16,3.5,0.0011,0.002,0.006,0.002,0.0014,0.0153,1.68,0.0,0.2804,0.0,0.0207,2.7,0.1929,122.0,0.49,0.0011,0.02,0.69,0.0047,0.49,6.21,0.01,0.007,0.0007,0.001,0.0016,0.0002,0.0023,0.0006,0.0004,0.0006,0.001,0.0008,0.0002,0.0007,0.0,0.0007,0.0006,0.0003,0.0006,0.0008,0.0014,0.0036,0.0004,0.0036
Steamed Spinach % Daily Value (RDI),0.01%,0.0443%,0.0057%,0.0114%,0.0993%,0.0071%,0.3886%,0.0908%,0.1555%,0.037%,0.0403%,0.084%,0.0507%,0.42%,0.0%,0.3116%,0.0%,0.1379%,2.25%,0.035%,,0.0614%,0.1193%,0.1114%,0.1643%,0.205%,0.0393%,0.2071%,0.0179%,0.0636%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Zespri Green Kiwi Total,0.5125,0.01,0.0013,0.135,0.03,0.025,0.125,0.0001,0.0003,0.003,0.0026,0.0011,0.0163,0.375,0,0.7125,0,0.0125,0.275,0.0775,1.225,0.325,0.0011,0.003,0.125,0.0008,0.325,3,0.0025,0.001,0.0004,0.0006,0.001,0.0003,0.0015,0.0005,0.0002,0.0005,0.0006,0.0005,0.0002,0.0004,0,0.0004,0.0005,0.0001,0.0002,0.0005,0.0001,0.0003,0,0.0001
Zespri Green Kiwi % Daily Value (RDI),0.0256%,0.02%,0.0016%,0.049%,0.1072%,0.0011%,0.0139%,0.0104%,0.0192%,0.0187%,0.0525%,0.0661%,0.0541%,0.0938%,0%,0.7925%,0%,0.0834%,0.2296%,0.0141%,,0.0406%,0.125%,0.0166%,0.0297%,0.0326%,0.026%,0.1%,0.0045%,0.0091%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Avocado Total,1.87,0.025,0.187,0.062,0.053,0.02,0.07,0.001,0.0015,0.019,0.0162,0.0032,0.018,0.84,0,0.15,0,0.033,0.21,0.142,2.71,0.09,0.0016,0.007,0.33,0.0022,0.54,7.2,0.004,0.006,0.001,0.0009,0.0022,0.0004,0.0024,0.001,0.0005,0.0008,0.0014,0.0012,0.0004,0.0009,0,0.0012,0.0009,0.0003,0.0006,0.0011,0.0001,0.0001,0,0.0001
Avocado % Daily Value (RDI),0.0935%,0.05%,0.2397%,0.0225%,0.1895%,0.0009%,0.0078%,0.0833%,0.1179%,0.1189%,0.324%,0.1882%,0.06%,0.21%,0%,0.1669%,0%,0.22%,0.1753%,0.0259%,,0.0113%,0.1777%,0.0389%,0.0785%,0.0957%,0.0432%,0.24%,0.0073%,0.0545%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Pork Loin (Shougayaki) Total,3.4634,0.1996,0.2386,0.0854,0.0016,6.5,0.01,0.0068,0.0014,0.055,0.007,0.0032,0.035,0.03,0.003,0.0034,0.003,0.0096,0.0334,0.7,0,0.04,0.0006,0.006,0.21,0,1.9,3.5,0.18,0.018,0.016,0.018,0.025,0.003,0.041,0.015,0.011,0.013,0.021,0.024,0.0073,0.011,0.0025,0.012,0.013,0.0033,0.0096,0.014,0.0001,0.0001,0,0.0002
Pork Loin (Shougayaki) % Daily Value (RDI),0.1732%,0.3992%,0.3058%,0.031%,0.0058%,0.2826%,0.0012%,0.5666%,0.1076%,0.3438%,0.14%,0.1882%,0.1166%,0.0076%,0.125%,0.0038%,0.015%,0.064%,0.0278%,0.1272%,0%,0.005%,,,,,,0.1166%,0.3272%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Beef Hire/Tenderloin (Med) Total,1.75,0.225,0.09,0,0,0.4,0,0.001,0.002,0.06,0.006,0.005,0.015,0.06,0.02,0,0.001,0.0024,0.015,1.04,0,0.06,0.001,0.015,0.2,0,2,3.3,0.175,0.04,0.017,0.019,0.027,0.0031,0.045,0.015,0.01,0.013,0.024,0.026,0.0076,0.012,0.0025,0.013,0.014,0.0035,0.01,0.014,0.0001,0.0001,0,0.0002
Beef Hire/Tenderloin (Med) % Daily Value (RDI),0.0876%,0.45%,0.1154%,0%,0%,0.0174%,0%,0.0834%,0.1538%,0.375%,0.12%,0.2942%,0.05%,0.015%,0.8334%,0%,0.005%,0.016%,0.0124%,0.189%,0%,0.0076%,,,,,,0.11%,0.3182%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Peanut Butter Total,6.4,0.25,0.5,0.2,0.07,0.0333,0,0.001,0.001,0.135,0.01,0.004,0.15,0.8,0,0,0,0.1,0,0.6,0,0.4,0.005,0.015,1.8,0.015,3.5,7,0.03,0.025,0.0092,0.027,0.028,0.0029,0.047,0.013,0.006,0.0081,0.015,0.0074,0.0023,0.012,0,0.012,0.0069,0.0021,0.0083,0.01,0.0007,0.0017,0.0001,0.0007
Peanut Butter % Daily Value (RDI),0.3197%,0.4997%,0.641%,0.0727%,0.2503%,0.0013%,0%,0.0833%,0.077%,0.8447%,0.2%,0.2353%,0.5%,0.2%,0%,0%,0%,0.6667%,0%,0.1093%,,0.05%,0.5553%,0.0833%,0.4283%,0.6523%,0.28%,0.2333%,0.0547%,0.2273%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Chicken Karaage (鶏の唐揚げ) Total,3.07,0.242,0.181,0.133,0,10.0,0.39,0.0012,0.0022,0.064,0.0158,0.0044,0.04,0.17,0.004,0,0.002,0.02,0.25,0.75,0,0.06,0.0008,0.006,0.28,0.0002,2.2,3.4,0.28,0.022,0.0144,0.0156,0.0216,0.0024,0.0362,0.012,0.0072,0.0108,0.0192,0.0204,0.006,0.0096,0.0108,0.0096,0.0096,0.0024,0.0084,0.012,0.0001,0.0001,0,0.0002
Chicken Karaage (鶏の唐揚げ) % Daily Value (RDI),0.1535%,0.484%,0.232%,0.0483%,0%,0.4347%,0.0433%,0.1%,0.1692%,0.4%,0.316%,0.2588%,0.1333%,0.0425%,0.1666%,0%,0.01%,0.1333%,0.2083%,0.1363%,0%,0.0046%,0.0888%,0.0333%,0.0666%,0.0086%,0.176%,0.0723%,0.509%,0.2%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Cooked White Rice Total,1.56,0.025,0.003,0.371,0.003,0.01,0,0.0002,0.0001,0.002,0.0025,0.0002,0.005,0.03,0,0,0,0,0,0,0,0.03,0.001,0.001,0.07,0.0035,0.34,0.29,0.01,0.006,0.0013,0.002,0.0022,0.0005,0.0041,0.0011,0.0006,0.0009,0.0019,0.0008,0.0006,0.0013,0.0012,0.0014,0.0009,0.0004,0.001,0.0014,0.00015,0.00002,0,0.00001
Cooked White Rice % Daily Value (RDI),0.078%,0.05%,0.0038%,0.1349%,0.0107%,0.0004%,0%,0.0166%,0.0076%,0.0125%,0.05%,0.0117%,0.0166%,0.0075%,0%,0%,0%,0%,0%,0%,0%,0.0023%,0.1111%,0.0055%,0.0166%,0.1521%,0.0272%,0.0061%,0.0181%,0.0545%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Ground Sesame (擦り胡麻) Total,5.99,0.203,0.542,0.185,0.126,0.02,0,0.0049,0.0023,0.053,0.0051,0.0064,0.15,1.5,0,0,0,0.001,0.12,0.25,0,12.0,0.0168,0.099,3.6,0.0252,5.6,4.1,0.01,0.059,0.011,0.029,0.019,0.0044,0.046,0.012,0.0063,0.0088,0.016,0.0057,0.0068,0.011,0.0085,0.012,0.0089,0.0035,0.0075,0.011,0.00001,0.00005,0,0.00002
Ground Sesame (擦り胡麻) % Daily Value (RDI),0.2995%,0.406%,0.6948%,0.0672%,0.45%,0.0008%,0%,0.4083%,0.1769%,0.3312%,0.102%,0.3764%,0.5%,0.375%,0%,0%,0%,0.0067%,0.1%,0.0454%,0%,0.923%,1.8666%,0.55%,0.8571%,1.0956%,0.448%,0.0872%,0.0181%,0.5363%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Standard Wheat Bread (食パン) Total,2.48,0.089,0.037,0.506,0.042,4.7,0,0.0007,0.0005,0.011,0.0042,0.0003,0.023,0.3,0,0,0,0.004,0,0.1,0,0.22,0.0009,0.005,0.18,0.0025,0.67,0.86,0.22,0.005,0.0028,0.0031,0.0039,0.0019,0.0280,0.0031,0.0019,0.0028,0.0061,0.0022,0.0014,0.0045,0.0094,0.0043,0.0025,0.0010,0.0027,0.0036,0.00005,0.00003,0,0.00001
Standard Wheat Bread (食パン) % Daily Value (RDI),0.124%,0.178%,0.0474%,0.184%,0.15%,0.2043%,0%,0.0583%,0.0384%,0.0687%,0.084%,0.0176%,0.0766%,0.075%,0%,0%,0%,0.0266%,0%,0.0181%,0%,0.0169%,0.1%,0.0277%,0.0428%,0.1086%,0.0536%,0.0182%,0.4%,0.0454%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Wheat and Rye Bread (Mischbrot) Total,2.64,0.084,0.022,0.527,0.056,5.0,0,0.0011,0.0007,0.015,0.005,0.0008,0.03,0.4,0,0,0,0.003,0,0.15,0,0.16,0.0018,0.014,0.40,0.0087,1.30,1.9,0.15,0.013,0.0030,0.0035,0.0040,0.0020,0.0250,0.0030,0.0020,0.0030,0.0060,0.0025,0.0015,0.0040,0.0080,0.0040,0.0025,0.0010,0.0025,0.0040,0.00005,0.00003,0,0.00001
Wheat and Rye Bread (Mischbrot) % Daily Value (RDI),0.132%,0.168%,0.0282%,0.1916%,0.2%,0.2173%,0%,0.0916%,0.0538%,0.0937%,0.1%,0.047%,0.1%,0.1%,0%,0%,0%,0.02%,0%,0.0272%,0%,0.0123%,0.2%,0.0777%,0.0952%,0.3782%,0.104%,0.0404%,0.2727%,0.1181%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Roasted Sesame Oil Total,9.00,0,1.00,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.004,0.05,0,0,0.01,0.0001,0.001,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001
Roasted Sesame Oil % Daily Value (RDI),0.45%,0%,1.282%,0%,0%,0%,0%,0%,0%,0.0062%,0%,0%,0%,0%,0%,0%,0%,0.0267%,0.0416%,0%,0%,0.0007%,0.0111%,0.0055%,0%,0%,0.0008%,0%,0.0181%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Canned Mackerel Water-Packed (鯖水煮) Total,1.74,0.209,0.107,0.002,0,3.5,0,0.0003,0.0021,0.075,0.0051,0.0024,0.015,0.15,0.12,0,0.11,0.015,0.05,0.65,0,2.6,0.0005,0.016,0.3,0.0002,2.1,2.4,0.4,0.01,0.013,0.013,0.022,0.0022,0.033,0.011,0.0055,0.0099,0.017,0.019,0.0066,0.0088,0.0077,0.0088,0.0099,0.0022,0.0066,0.011,0.0001,0.00002,0,0.00001
Canned Mackerel Water-Packed (鯖水煮) % Daily Value (RDI),0.087%,0.418%,0.137%,0.0007%,0%,0.152%,0%,0.025%,0.161%,0.468%,0.102%,0.141%,0.05%,0.037%,5.0%,0%,0.55%,0.1%,0.04%,0.118%,0%,0.2%,0.055%,0.088%,0.071%,0.008%,0.168%,0.051%,0.727%,0.09%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Canned Mackerel Miso-Packed (鯖味噌煮) Total,2.10,0.163,0.139,0.066,0.002,4.3,0,0.0003,0.0021,0.075,0.0051,0.0024,0.015,0.15,0.12,0,0.11,0.015,0.05,0.65,0,2.1,0.0005,0.016,0.3,0.0002,2.1,2.4,0.4,0.01,0.010,0.010,0.017,0.0017,0.025,0.008,0.0042,0.0076,0.013,0.014,0.0051,0.0067,0.0059,0.0067,0.0076,0.0017,0.0051,0.0084,0.0001,0.00002,0,0.00001
Canned Mackerel Miso-Packed (鯖味噌煮) % Daily Value (RDI),0.105%,0.326%,0.178%,0.024%,0.007%,0.186%,0%,0.025%,0.161%,0.468%,0.102%,0.141%,0.05%,0.037%,5.0%,0%,0.55%,0.1%,0.04%,0.118%,0%,0.161%,0.055%,0.088%,0.071%,0.008%,0.168%,0.051%,0.727%,0.09%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Boiled Soba (Noodles Only) Total,1.32,0.048,0.007,0.260,0.015,0.02,0,0.0003,0.0002,0.006,0.001,0.0002,0.01,0.11,0,0,0,0,0,0.1,0,0.07,0.0007,0.006,0.23,0.0036,0.61,0.34,0.01,0.004,0.002,0.003,0.004,0.001,0.012,0.002,0.001,0.002,0.004,0.002,0.001,0.002,0.003,0.002,0.002,0.0005,0.001,0.003,0.00001,0.00001,0,0.00001
Boiled Soba (Noodles Only) % Daily Value (RDI),0.066%,0.096%,0.0089%,0.0945%,0.0535%,0.0008%,0%,0.025%,0.015%,0.037%,0.02%,0.011%,0.033%,0.027%,0%,0%,0%,0%,0%,0.018%,0%,0.005%,0.077%,0.033%,0.054%,0.156%,0.048%,0.007%,0.018%,0.036%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Grilled Unagi (Kabayaki) Total,2.85,0.230,0.210,0.031,0,5.11,15.0,0.0075,0.0074,0.028,0.013,0.0015,0,0.28,0.024,0,0.190,0.049,0.06,0.65,0,1.50,0.0011,0.008,0.23,0.0003,2.60,2.90,0.15,0.027,0.015,0.015,0.024,0.0024,0.036,0.012,0.006,0.011,0.018,0.020,0.007,0.009,0.008,0.009,0.011,0.0024,0.007,0.012,0.0005,0.00003,0.0002,0.00001
Grilled Unagi (Kabayaki) % Daily Value (RDI),0.142%,0.46%,0.269%,0.011%,0%,0.222%,1.666%,0.625%,0.569%,0.175%,0.26%,0.088%,0%,0.07%,1.0%,0%,0.95%,0.326%,0.05%,0.118%,0%,0.115%,0.122%,0.044%,0.054%,0.013%,0.208%,0.061%,0.272%,0.245%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Canned Yellowfin Tuna Water-Packed (キハダマグロ水煮) Total,0.7,0.16,0.007,0.002,0,2.1,0.1,0.0001,0.0004,0.095,0.0013,0.0026,0,0.04,0.011,0,0.03,0.004,0,0.293,0,0.05,0.0005,0.006,0.26,0.0001,1.6,2.3,0.706,0.007,0.008229,0.008141,0.01392,0.001455,0.0203,0.006523,0.00471,0.00737,0.013,0.0147,0.004735,0.006247,0.004811,0.005551,0.007012,0.001524,0.004591,0.008241,0.0001,0.00002,0.354,0.00001
Canned Yellowfin Tuna Water-Packed (キハダマグロ水煮) % Daily Value (RDI),0.035%,0.32%,0.008974%,0.0007273%,0%,0.0913%,0.01111%,0.008333%,0.03077%,0.5938%,0.026%,0.1529%,0%,0.01%,0.4583%,0%,0.15%,0.02667%,0%,0.05327%,,0.00625%,0.05556%,0.03333%,0.0619%,0.004348%,0.128%,0.07667%,1.284%,0.06364%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Canned Yellowfin Tuna Oil-Packed (キハダマグロ油漬) Total,2.65,0.177,0.217,0.001,0,3.4,0.08,0.0001,0.0003,0.088,0.0009,0.0026,0,0.03,0.011,0,0.02,0.028,0.44,0.293,0,0.04,0.0004,0.005,0.25,0.0001,1.6,2.3,0.76,0.003,0.01563,0.01546,0.02646,0.001896,0.03858,0.0124,0.005074,0.008142,0.0144,0.01628,0.005226,0.006927,0.009139,0.01055,0.007778,0.001975,0.008719,0.009114,0.0001,0.00002,0.354,0.00001
Canned Yellowfin Tuna Oil-Packed (キハダマグロ油漬) % Daily Value (RDI),0.1325%,0.354%,0.2782%,0.0003636%,0%,0.1478%,0.008889%,0.008333%,0.02308%,0.55%,0.018%,0.1529%,0%,0.0075%,0.4583%,0%,0.1%,0.1867%,0.3667%,0.05327%,,0.005%,0.04444%,0.02778%,0.05952%,0.004348%,0.128%,0.07667%,1.382%,0.02727%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Hamburg (ハンバーグ) Total,1.97,0.134,0.122,0.1,0.011,3.4,0.18,0.0023,0.0015,0.03,0.0071,0.002,0.025,0.17,0.005,0.02,0.002,0.006,0.07,0.793,0,0.29,0.0009,0.013,0.23,0.0014,1.1,2.8,0.09,0.024,0.00671,0.006973,0.009646,0.001101,0.01604,0.007287,0.00346,0.004718,0.008336,0.00886,0.002779,0.004194,0.005452,0.004299,0.004142,0.0005243,0.003303,0.005243,0.0001,0.00002,0,0.00001
Hamburg (ハンバーグ) % Daily Value (RDI),0.0985%,0.268%,0.1564%,0.03636%,0.03929%,0.1478%,0.02%,0.1917%,0.1154%,0.1875%,0.142%,0.1176%,0.08333%,0.0425%,0.2083%,0.02222%,0.01%,0.04%,0.05833%,0.1442%,,0.03625%,0.1%,0.07222%,0.05476%,0.06087%,0.088%,0.09333%,0.1636%,0.2182%,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Ice Cream Total,2.44,0.046,0.163,0.199,0,0.4,1.0,0.0004,0.002,0.001,0.004,0.0004,0.015,0.05,0.004,0.005,0.003,0.003,0.05,0.26,0,1.28,0.0002,0.0005,0.14,0.0001,1.05,1.99,0.02,0.007,0.0015,0.0016,0.0035,0.0004,0.009,0.001,0.0013,0.0028,0.0045,0.0036,0.0012,0.0022,0.0045,0.0025,0.002,0.0006,0.0022,0.003,0.0001,1e-05,0,1e-05
Ice Cream % Daily Value (RDI),0.122%,0.092%,0.20896%,0.07236%,0.0%,0.01739%,0.1111%,0.03334%,0.15387%,0.00625%,0.08%,0.02352%,0.05%,0.0125%,0.16664%,0.00556%,0.015%,0.02%,0.0417%,0.04728%,,0.16%,0.02222%,0.00278%,0.03333%,0.00435%,0.084%,0.06633%,0.03636%,0.06364%,,,,,,,,,,,,,,,,,,,,,,
